LAD 2021 Code,LAD 2021 Name,LSOA 2021 Code,LSOA 2021 Name,Total,F0 to 15,F16 to 29,F30 to 44,F45 to 64,F65 and over,M0 to 15,M16 to 29,M30 to 44,M45 to 64,M65 and over,youngs,proportion of youth population
E08000035,Leeds,E01011264,Leeds 011A,"1,296",83,70,120,209,192,91,84,95,181,171,328,25.31
E08000035,Leeds,E01011265,Leeds 009A,"1,967",168,150,227,232,263,186,134,221,227,159,638,32.44
E08000035,Leeds,E01011266,Leeds 008A,"2,652",222,167,281,362,244,289,177,292,409,209,855,32.24
E08000035,Leeds,E01011267,Leeds 009B,"1,696",146,119,193,214,230,173,133,135,195,158,571,33.67
E08000035,Leeds,E01011268,Leeds 010A,"1,416",155,104,155,195,128,142,103,125,207,102,504,35.59
E08000035,Leeds,E01011269,Leeds 011B,"1,583",106,90,149,222,264,120,107,135,217,173,423,26.72
E08000035,Leeds,E01011270,Leeds 008B,"1,736",148,70,130,283,233,171,85,111,263,242,474,27.3
E08000035,Leeds,E01011271,Leeds 009C,"2,202",234,148,212,309,247,224,114,176,309,229,720,32.7
E08000035,Leeds,E01011272,Leeds 009D,"1,446",124,85,139,216,172,141,99,105,195,170,449,31.05
E08000035,Leeds,E01011273,Leeds 010B,"1,462",107,154,161,180,177,122,94,171,181,115,477,32.63
E08000035,Leeds,E01011274,Leeds 010C,"1,381",137,100,135,186,163,126,122,105,173,134,485,35.12
E08000035,Leeds,E01011275,Leeds 010D,"1,420",166,90,150,191,171,127,80,140,174,131,463,32.61
E08000035,Leeds,E01011276,Leeds 011C,"1,795",127,119,177,241,230,158,143,180,223,197,547,30.47
E08000035,Leeds,E01011277,Leeds 014A,"1,579",152,124,194,236,94,175,124,171,212,97,575,36.42
E08000035,Leeds,E01011278,Leeds 014B,"1,618",132,119,160,226,184,136,128,160,212,161,515,31.83
E08000035,Leeds,E01011279,Leeds 008C,"1,292",101,69,130,190,203,111,80,105,174,129,361,27.94
E08000035,Leeds,E01011280,Leeds 008D,"2,107",208,126,237,288,213,218,108,207,302,200,660,31.32
E08000035,Leeds,E01011281,Leeds 059A,"2,146",228,229,319,185,171,222,167,293,213,119,846,39.42
E08000035,Leeds,E01011282,Leeds 059B,"1,412",148,150,167,174,93,158,137,155,160,70,593,42
E08000035,Leeds,E01011283,Leeds 059C,"1,570",239,183,196,150,56,221,119,170,144,92,762,48.54
E08000035,Leeds,E01011284,Leeds 071A,"2,196",209,346,289,141,30,265,264,385,227,40,"1,084",49.36
E08000035,Leeds,E01011286,Leeds 059D,"1,291",115,95,165,170,94,132,104,150,170,96,446,34.55
E08000035,Leeds,E01011287,Leeds 067B,"1,462",133,143,160,189,136,136,113,130,211,111,525,35.91
E08000035,Leeds,E01011292,Leeds 071B,"1,969",203,196,225,189,126,214,156,268,281,111,769,39.06
E08000035,Leeds,E01011293,Leeds 071C,"1,938",202,179,241,180,82,272,196,280,241,65,849,43.81
E08000035,Leeds,E01011294,Leeds 071D,"1,730",147,133,130,120,54,137,279,413,264,53,696,40.23
E08000035,Leeds,E01011295,Leeds 059E,"1,703",187,161,230,191,90,215,159,215,195,60,722,42.4
E08000035,Leeds,E01011296,Leeds 030A,"1,665",106,50,120,250,318,122,70,90,247,292,348,20.9
E08000035,Leeds,E01011297,Leeds 030B,"1,758",158,130,154,289,176,161,130,141,271,148,579,32.94
E08000035,Leeds,E01011298,Leeds 088A,"1,522",146,129,176,190,140,150,146,160,176,109,571,37.52
E08000035,Leeds,E01011299,Leeds 088B,"2,895",311,198,392,341,222,360,187,338,362,184,"1,056",36.48
E08000035,Leeds,E01011300,Leeds 089A,"1,466",137,114,145,199,163,136,114,135,185,138,501,34.17
E08000035,Leeds,E01011301,Leeds 089B,"1,291",95,80,120,194,179,95,75,100,179,174,345,26.72
E08000035,Leeds,E01011302,Leeds 088C,"1,822",118,127,125,221,337,129,128,125,209,303,502,27.55
E08000035,Leeds,E01011303,Leeds 088D,"1,122",84,75,105,149,152,101,93,90,135,138,353,31.46
E08000035,Leeds,E01011304,Leeds 089C,"1,606",163,155,151,204,183,173,128,130,194,125,619,38.54
E08000035,Leeds,E01011305,Leeds 089D,"1,474",158,109,140,246,132,124,99,130,211,125,490,33.24
E08000035,Leeds,E01011306,Leeds 089E,"1,316",123,99,120,206,145,93,105,115,175,135,420,31.91
E08000035,Leeds,E01011307,Leeds 103A,"1,626",121,126,155,234,202,154,119,140,206,169,520,31.98
E08000035,Leeds,E01011308,Leeds 103B,"1,536",148,95,140,214,198,142,105,131,190,173,490,31.9
E08000035,Leeds,E01011309,Leeds 030C,"1,501",120,60,145,216,210,133,93,130,223,171,406,27.05
E08000035,Leeds,E01011310,Leeds 030D,"1,658",141,70,140,244,248,158,85,125,225,222,454,27.38
E08000035,Leeds,E01011311,Leeds 022A,"1,268",105,69,100,205,147,138,60,95,197,152,372,29.34
E08000035,Leeds,E01011312,Leeds 086A,"2,016",344,206,270,140,36,266,224,251,234,45,"1,040",51.59
E08000035,Leeds,E01011313,Leeds 091A,"1,725",247,157,240,181,61,238,143,230,182,46,785,45.51
E08000035,Leeds,E01011314,Leeds 091B,"1,554",150,151,184,176,89,183,163,216,165,77,647,41.63
E08000035,Leeds,E01011315,Leeds 090A,"1,636",169,133,175,225,107,184,119,192,210,122,605,36.98
E08000035,Leeds,E01011316,Leeds 086B,"2,015",287,223,234,202,40,284,206,261,238,40,"1,000",49.63
E08000035,Leeds,E01011317,Leeds 090B,"1,787",193,137,242,190,135,188,115,228,215,144,633,35.42
E08000035,Leeds,E01011318,Leeds 090C,"1,559",222,125,216,155,70,203,114,199,170,85,664,42.59
E08000035,Leeds,E01011319,Leeds 091C,"1,591",182,128,195,175,104,200,138,175,192,102,648,40.73
